,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
11,3125.03,611.34,683.20,1316.55,1673.27,1592.68,154.45,92.65,424.98,795.92,1055.01,2039.09,6573.08,1608.84,906.29,1070.90,3128.61,2205.41,356.44,4699.62,614.82,204.44,66.82,445.45,13.08,69.97,1684.89,678.67,579.17,197.65,108.98,19.28,17.46,6.71,83.97,9.22,271.32,3.33,0.51,0.33,0.03,475.31,2122.35,968.56,43.60,37.14,212.50,4.45,40.20,21.00,26.61,15.23,1131.63,1471.93,173.98,233.64,17.27,1.69,0.03,6.38,26.06
12,7599.16,1346.29,1529.24,2582.50,4623.77,2986.58,298.24,194.13,777.78,1638.94,4140.40,3721.17,58722.21,12808.22,5882.48,4707.02,16421.30,6998.48,3168.38,13879.21,5485.42,1366.74,504.70,3160.84,107.46,572.56,12123.04,3325.53,2768.69,1218.59,594.86,91.96,73.97,23.76,328.67,49.92,526.13,6.09,1.08,0.74,0.07,873.16,4986.64,1882.07,79.97,68.27,394.23,9.05,84.32,46.73,59.29,32.93,3658.93,4022.88,558.11,566.97,33.50,3.14,0.06,19.13,86.34
13,3769.56,662.18,757.63,1323.70,2243.99,1582.21,153.55,96.02,430.55,1077.76,2018.64,2024.56,28470.61,39898.36,13168.36,6002.62,15762.69,4380.97,3127.82,7131.26,6101.64,4094.17,1572.08,9530.84,324.17,1733.15,37335.28,6797.05,6108.84,3494.05,1583.55,224.86,163.08,43.93,630.00,134.41,384.13,3.62,0.53,0.36,0.03,537.11,4487.89,1293.98,50.82,38.35,214.19,4.50,41.47,22.75,28.84,16.08,4500.64,4651.66,818.87,605.88,17.15,1.70,0.03,28.23,145.05
14,1105.99,196.65,224.85,417.19,625.87,508.69,50.14,29.32,146.74,398.09,559.27,645.20,7397.37,7449.73,6491.19,2678.30,5532.73,1451.37,694.56,2124.18,1247.84,1448.93,472.15,3172.94,85.43,456.72,12030.33,3279.20,2839.31,1334.87,654.41,98.22,74.71,21.13,302.70,54.95,161.95,1.40,0.16,0.11,0.01,203.76,1994.34,514.70,20.35,14.13,75.45,1.42,12.73,6.69,8.47,4.82,2142.81,2229.71,403.52,289.02,5.74,0.61,0.01,13.91,70.90
15,2876.72,548.93,608.81,1234.98,1557.84,1508.87,160.18,86.92,474.13,1353.54,1289.20,1816.54,14103.69,8091.32,6381.60,10070.02,13055.62,4013.14,1035.55,5365.53,1735.73,1757.31,511.65,3357.97,86.89,463.22,13156.39,6376.00,5383.33,1799.58,1024.61,177.03,151.74,50.80,695.86,86.68,608.74,5.17,0.51,0.32,0.02,734.89,7449.84,1895.99,75.90,50.86,261.41,4.53,39.10,19.34,24.59,14.42,7312.73,7588.89,1171.51,1000.76,19.34,2.16,0.04,39.83,184.20
16,3715.07,668.96,761.86,1430.15,2060.20,1743.86,171.23,100.43,497.13,1293.90,1788.05,2210.03,20490.11,8848.28,5489.83,5436.85,18968.45,4975.88,1429.38,7109.78,2368.71,1237.25,401.15,2689.09,75.36,403.41,10181.32,3681.50,3061.62,1176.37,616.72,100.52,83.53,27.43,377.51,51.79,453.00,4.35,0.56,0.36,0.03,645.41,4968.23,1552.16,61.10,45.65,250.69,4.87,43.65,22.82,28.90,16.51,4133.72,4409.29,639.79,599.32,19.41,2.00,0.04,21.83,99.63
17,1738.97,322.79,364.28,697.30,941.00,850.28,83.13,48.91,238.17,564.06,738.68,1074.79,6024.63,1696.64,993.54,1152.99,3432.89,2426.44,342.25,3209.06,574.55,224.87,72.76,486.96,13.94,74.59,1843.08,730.79,616.89,217.09,118.15,20.34,17.87,6.47,84.43,9.97,181.54,1.96,0.27,0.18,0.01,288.33,1694.53,647.01,26.56,21.15,118.62,2.37,21.28,11.07,14.02,8.04,1085.04,1284.62,163.27,188.93,9.36,0.94,0.02,5.76,24.55
18,1558.95,278.87,314.52,527.00,973.63,608.75,60.93,40.16,158.94,349.14,855.52,762.07,11965.50,5314.07,2085.85,1305.20,4326.17,1501.44,1444.00,2828.46,2389.09,545.31,216.04,1269.68,47.92,254.63,4995.17,1074.96,914.82,468.09,216.58,31.69,24.06,7.08,100.50,18.28,112.91,1.25,0.23,0.16,0.02,180.75,1152.20,400.79,16.57,13.92,80.33,1.87,17.56,9.84,12.52,6.91,956.00,1008.32,152.68,136.71,6.87,0.64,0.01,5.18,24.69
19,1982.74,350.03,401.37,702.93,1099.95,819.37,81.12,51.16,212.44,397.58,843.40,996.66,5199.23,1201.80,632.77,670.81,2134.49,1396.45,280.56,3808.07,490.03,141.24,48.27,316.52,9.80,52.34,1198.50,427.54,358.76,132.51,69.92,11.79,10.29,3.75,48.60,5.88,132.71,1.66,0.28,0.19,0.02,233.47,1080.28,474.31,21.46,18.72,108.15,2.40,22.07,11.91,15.07,8.49,631.67,775.45,95.43,118.90,9.07,0.86,0.02,3.41,14.31
20,422.78,77.37,85.96,141.64,273.70,160.74,16.50,11.17,41.60,88.45,232.60,198.37,3126.33,1564.46,565.54,330.16,1081.93,380.39,360.55,745.54,942.17,165.14,70.01,380.57,16.42,86.75,1545.72,286.64,247.94,138.29,62.10,8.85,6.54,1.86,26.54,5.28,28.48,0.33,0.06,0.05,0.00,46.49,287.75,101.44,4.26,3.68,21.38,0.52,4.96,2.81,3.59,1.97,240.78,252.94,38.94,34.19,1.89,0.17,0.00,1.32,6.39
21,537.63,95.82,109.41,206.26,305.36,252.35,25.65,14.44,75.95,215.89,274.21,316.96,3742.91,5044.08,3155.40,1606.15,2715.47,715.37,395.43,1032.58,793.52,36410.96,8541.98,7652.50,1088.89,5182.93,95612.00,5930.95,13713.49,27803.24,11142.42,1440.88,838.33,154.41,1688.70,1043.72,131.46,0.99,0.08,0.05,0.00,124.15,1686.15,330.73,15.38,8.87,42.58,0.72,6.34,3.27,4.14,2.37,2147.58,3047.16,980.68,453.09,3.11,0.37,0.01,51.00,371.45
22,457.73,80.39,92.17,165.61,269.73,201.02,19.68,11.76,57.56,158.47,242.88,256.44,3421.53,4794.62,2545.36,1157.64,2179.50,573.01,387.83,873.56,832.79,21145.77,34604.75,6563.80,4236.02,17983.95,88955.65,3703.55,7969.94,20716.04,9793.93,1392.77,714.63,113.43,1052.11,1185.20,82.10,0.63,0.06,0.04,0.00,84.94,1064.30,222.91,9.65,5.91,30.12,0.56,5.08,2.74,3.48,1.95,1347.98,1804.22,569.78,263.80,2.26,0.25,0.00,31.20,243.24
