JDBH,440303001,440303002,440303003,440303004,440303005,440303006,440303007,440303008,440303009,440303010,440304001,440304002,440304004,440304005,440304006,440304007,440304008,440304009,440304010,440304011,440304400,440305001,440305002,440305003,440305005,440305006,440305007,440305008,440305009,440306017,440306018,440306020,440306022,440306024,440306026,440306400,440307003,440307006,440307009,440307010,440307011,440307012,440307013,440307014,440307015,440307016,440307017,440308001,440308002,440308003,440308004,440308400,440309002,440309003,440309004,440309006,440310001,440310005,440310401,440311001,440311002
440303001,4024.0,1513.0,1609.0,1345.0,5346.0,2512.0,451.0,412.0,337.0,993.0,2517.0,1897.0,8586.0,2577.0,1192.0,1091.0,3175.0,1645.0,500.0,5919.0,470.0,490.0,316.0,957.0,135.0,350.0,3787.0,404.0,523.0,258.0,279.0,111.0,62.0,52.0,52.0,393.0,162.0,19.0,61.0,50.0,11.0,593.0,814.0,915.0,250.0,128.0,305.0,145.0,149.0,58.0,78.0,46.0,587.0,611.0,147.0,153.0,77.0,19.0,0.0,41.0,50.0
440303002,8297.0,3161.0,3529.0,4798.0,10186.0,2708.0,1727.0,2044.0,1206.0,885.0,1302.0,1318.0,6778.0,2286.0,1308.0,1082.0,2713.0,1754.0,382.0,4526.0,502.0,482.0,392.0,780.0,135.0,330.0,3160.0,566.0,765.0,471.0,388.0,77.0,37.0,41.0,61.0,113.0,252.0,24.0,159.0,84.0,7.0,776.0,1089.0,1159.0,286.0,170.0,473.0,135.0,423.0,190.0,491.0,248.0,636.0,503.0,63.0,242.0,107.0,18.0,0.0,9.0,62.0
440303003,3598.0,1521.0,441.0,1316.0,4587.0,967.0,348.0,356.0,305.0,469.0,582.0,638.0,2410.0,755.0,315.0,340.0,991.0,513.0,157.0,1753.0,139.0,164.0,146.0,333.0,30.0,127.0,1134.0,208.0,249.0,112.0,115.0,43.0,24.0,15.0,24.0,140.0,136.0,3.0,43.0,73.0,9.0,364.0,361.0,591.0,112.0,35.0,207.0,61.0,60.0,32.0,79.0,41.0,366.0,206.0,52.0,44.0,58.0,5.0,0.0,2.0,34.0
440303004,3401.0,2309.0,1528.0,3719.0,3550.0,2290.0,1310.0,614.0,1633.0,1085.0,682.0,1357.0,4376.0,1460.0,722.0,784.0,1769.0,1143.0,308.0,2233.0,294.0,470.0,311.0,317.0,122.0,270.0,2449.0,538.0,758.0,353.0,200.0,87.0,90.0,155.0,93.0,92.0,346.0,12.0,28.0,96.0,9.0,1064.0,1012.0,1220.0,274.0,165.0,482.0,39.0,213.0,98.0,130.0,81.0,381.0,616.0,155.0,218.0,63.0,8.0,0.0,86.0,846.0
440303005,3548.0,2656.0,1388.0,1205.0,2983.0,1282.0,644.0,611.0,277.0,448.0,1089.0,515.0,5098.0,997.0,447.0,509.0,1104.0,462.0,199.0,1949.0,142.0,250.0,213.0,629.0,123.0,371.0,1539.0,283.0,231.0,159.0,277.0,101.0,110.0,70.0,54.0,405.0,157.0,27.0,36.0,76.0,11.0,749.0,387.0,1255.0,138.0,142.0,274.0,127.0,42.0,113.0,69.0,37.0,387.0,284.0,75.0,136.0,73.0,33.0,0.0,11.0,57.0
440303006,6953.0,1654.0,1331.0,3038.0,4018.0,3297.0,766.0,310.0,1219.0,2543.0,1261.0,4387.0,6458.0,2384.0,787.0,1476.0,2381.0,1991.0,421.0,5233.0,478.0,435.0,227.0,456.0,39.0,222.0,2711.0,446.0,663.0,323.0,249.0,101.0,37.0,37.0,58.0,145.0,557.0,14.0,14.0,53.0,9.0,873.0,977.0,1372.0,210.0,177.0,360.0,68.0,194.0,25.0,35.0,110.0,630.0,504.0,150.0,253.0,77.0,12.0,0.0,4.0,35.0
440303007,2896.0,2190.0,1223.0,4145.0,3115.0,1698.0,2276.0,615.0,1463.0,710.0,360.0,832.0,2455.0,1210.0,468.0,376.0,1211.0,689.0,212.0,1877.0,225.0,225.0,123.0,201.0,48.0,116.0,2150.0,332.0,312.0,174.0,86.0,24.0,16.0,65.0,72.0,53.0,370.0,9.0,35.0,56.0,9.0,1647.0,1111.0,1843.0,221.0,174.0,704.0,72.0,202.0,118.0,140.0,70.0,382.0,363.0,49.0,120.0,137.0,15.0,0.0,19.0,54.0
440303008,3666.0,4955.0,1525.0,2498.0,4683.0,1836.0,1059.0,2812.0,525.0,536.0,739.0,600.0,2892.0,1485.0,462.0,413.0,1141.0,754.0,224.0,1858.0,277.0,248.0,211.0,267.0,36.0,192.0,1603.0,210.0,654.0,147.0,118.0,44.0,26.0,12.0,21.0,59.0,198.0,19.0,98.0,147.0,0.0,311.0,503.0,485.0,121.0,115.0,290.0,201.0,738.0,564.0,539.0,395.0,226.0,310.0,58.0,98.0,140.0,20.0,0.0,21.0,54.0
440303009,2458.0,1212.0,1041.0,4694.0,1953.0,2691.0,1259.0,139.0,1106.0,1496.0,479.0,972.0,2911.0,1291.0,687.0,416.0,1249.0,822.0,193.0,2117.0,255.0,226.0,110.0,237.0,31.0,161.0,1230.0,403.0,394.0,282.0,167.0,31.0,56.0,32.0,30.0,60.0,1051.0,36.0,73.0,49.0,2.0,1137.0,820.0,2254.0,278.0,134.0,526.0,18.0,84.0,20.0,69.0,55.0,448.0,237.0,93.0,152.0,83.0,24.0,0.0,19.0,28.0
